,year,WPS051
0,1990,
1,1991,
2,1992,
3,1993,
4,1994,
5,1995,
6,1996,
7,1997,
8,1998,
9,1999,
10,2000,
11,2001,
12,2002,99.76666666666667
13,2003,99.93333333333334
14,2004,108.91666666666667
15,2005,116.51666666666667
16,2006,126.3
17,2007,130.525
18,2008,161.525
19,2009,182.40833333333333
20,2010,189.54999999999998
21,2011,207.04166666666666
22,2012,211.29166666666666
23,2013,208.11666666666667
24,2014,199.93333333333337
25,2015,194.0
26,2016,189.58333333333334
27,2017,195.8166666666667
28,2018,199.59166666666667
29,2019,199.82500000000002
30,2020,188.9416666666667
